First Name,Last Name,Riding,Province,Party,Email
Lianne,Rood,Middlesex—London,Ontario,Conservative,Lianne.Rood@parl.gc.ca
Ellis,Ross,Skeena—Bulkley Valley,British Columbia,Conservative,ellis.ross@parl.gc.ca
Jonathan,Rowe,Terra Nova—The Peninsulas,Newfoundland and Labrador,Conservative,jonathan.rowe@parl.gc.ca
Zoe,Royer,Port Moody—Coquitlam,British Columbia,Liberal,zoe.royer@parl.gc.ca
Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,Alex.Ruff@parl.gc.ca
Ruby,Sahota,Brampton North—Caledon,Ontario,Liberal,ruby.sahota@parl.gc.ca
Gurbux,Saini,Fleetwood—Port Kells,British Columbia,Liberal,gurbux.saini@parl.gc.ca
Randeep,Sarai,Surrey Centre,British Columbia,Liberal,randeep.sarai@parl.gc.ca
Abdelhaq,Sari,Bourassa,Quebec,Liberal,abdelhaq.sari@parl.gc.ca
Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot—Acton,Quebec,Bloc Québécois,Simon-Pierre.Savard-Tremblay@parl.gc.ca
Jake,Sawatzky,New Westminster—Burnaby—Maillardville,British Columbia,Liberal,jake.sawatzky@parl.gc.ca
Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,francis.scarpaleggia@parl.gc.ca
Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,andrew.scheer@parl.gc.ca
Peter,Schiefke,Vaudreuil,Quebec,Liberal,peter.schiefke@parl.gc.ca
Jamie,Schmale,Haliburton—Kawartha Lakes,Ontario,Conservative,jamie.schmale@parl.gc.ca
Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,Kyle.Seeback@parl.gc.ca
Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,judy.sgro@parl.gc.ca
Terry,Sheehan,Sault Ste. Marie—Algoma,Ontario,Liberal,terry.sheehan@parl.gc.ca
Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,Doug.Shipley@parl.gc.ca
Maninder,Sidhu,Brampton East,Ontario,Liberal,Maninder.Sidhu@parl.gc.ca
Sonia,Sidhu,Brampton South,Ontario,Liberal,sonia.sidhu@parl.gc.ca
Mario,Simard,Jonquière,Quebec,Bloc Québécois,Mario.Simard@parl.gc.ca
Clifford,Small,Central Newfoundland,Newfoundland and Labrador,Conservative,clifford.small@parl.gc.ca
Amandeep,Sodhi,Brampton Centre,Ontario,Liberal,amandeep.sodhi@parl.gc.ca
Evan,Solomon,Toronto Centre,Ontario,Liberal,evan.solomon@parl.gc.ca
Charles,Sousa,Mississauga—Lakeshore,Ontario,Liberal,charles.sousa@parl.gc.ca
Eric,St-Pierre,Honoré-Mercier,Quebec,Liberal,eric.st-pierre@parl.gc.ca
Gabriel,Ste-Marie,Joliette—Manawan,Quebec,Bloc Québécois,gabriel.ste-marie@parl.gc.ca
Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,Warren.Steinley@parl.gc.ca
William,Stevenson,Yellowhead,Alberta,Conservative,william.stevenson@parl.gc.ca
Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,Mark.Strahl@parl.gc.ca
Matt,Strauss,Kitchener South—Hespeler,Ontario,Conservative,matt.strauss@parl.gc.ca
Shannon,Stubbs,Lakeland,Alberta,Conservative,shannon.stubbs@parl.gc.ca
Jenna,Sudds,Kanata,Ontario,Liberal,jenna.sudds@parl.gc.ca
Kristina,Tesser Derksen,Milton East—Halton Hills South,Ontario,Liberal,kristina.tesserderksen@parl.gc.ca
Luc,Thériault,Montcalm,Quebec,Bloc Québécois,luc.theriault@parl.gc.ca
Rachael,Thomas,Lethbridge,Alberta,Conservative,rachael.thomas@parl.gc.ca
Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,joanne.thompson@parl.gc.ca
Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,Corey.Tochor@parl.gc.ca
Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,fraser.tolmie@parl.gc.ca
Ryan,Turnbull,Whitby,Ontario,Liberal,Ryan.Turnbull@parl.gc.ca
Tim,Uppal,Edmonton Gateway,Alberta,Conservative,Tim.Uppal@parl.gc.ca
Rechie,Valdez,Mississauga—Streetsville,Ontario,Liberal,rechie.valdez@parl.gc.ca
Adam,van Koeverden,Burlington North—Milton West,Ontario,Liberal,Adam.vanKoeverden@parl.gc.ca
Tako,Van Popta,Langley Township—Fraser Heights,British Columbia,Conservative,Tako.VanPopta@parl.gc.ca
Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,anita.vandenbeld@parl.gc.ca
Dominique,Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,dominique.vien@parl.gc.ca
Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,arnold.viersen@parl.gc.ca
Louis,Villeneuve,Brome—Missisquoi,Quebec,Liberal,louis.villeneuve@parl.gc.ca
Brad,Vis,Mission—Matsqui—Abbotsford,British Columbia,Conservative,Brad.Vis@parl.gc.ca
Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,cathay.wagantall@parl.gc.ca
Chris,Warkentin,Grande Prairie,Alberta,Conservative,chris.warkentin@parl.gc.ca
Tim,Watchorn,Les Pays-d'en-Haut,Quebec,Liberal,tim.watchorn@parl.gc.ca
Kevin,Waugh,Saskatoon South,Saskatchewan,Conservative,kevin.waugh@parl.gc.ca
Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,Patrick.Weiler@parl.gc.ca
Jonathan,Wilkinson,North Vancouver—Capilano,British Columbia,Liberal,jonathan.wilkinson@parl.gc.ca
John,Williamson,Saint John—St. Croix,New Brunswick,Conservative,John.Williamson@parl.gc.ca
Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,Jean.Yip@parl.gc.ca
Salma,Zahid,Scarborough Centre—Don Valley East,Ontario,Liberal,salma.zahid@parl.gc.ca
John,Zerucelli,Etobicoke North,Ontario,Liberal,john.zerucelli@parl.gc.ca
Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,bob.zimmer@parl.gc.ca
Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,Sameer.Zuberi@parl.gc.ca
